maker_id,maker_name,country,century,N_Sales,Span_Years,First_Sale,Last_Sale,Real_CAGR_%,Is_Dead
154,"Deblaye, Albert",France,19,117,43,1983,2026,-1.4795525165949952,True
1438,"Moitessier, Louis",France,19,26,43,1981,2024,-1.5708174418623932,True
37,"Barbé, François",France,19,27,37,1980,2017,-2.0853622102234515,True
356,"Thibouville-Lamy, Jérôme Firm",France,19,722,42,1983,2025,-2.098710615609989,True
1054,"Salzard, Dominique",France,19,13,35,1980,2015,-2.2336020196687123,True
64,"Bernardel, Léon",France,19,76,42,1983,2025,-2.3383747891551065,True
93,"Buthod, Charles",France,19,61,41,1983,2024,-2.4899357405861577,True
1606,"Barbé, Télesphore Amable",France,19,10,38,1987,2025,-3.1074908906036924,True
12975,"Simonin, Charles II",France,19,14,38,1985,2023,-3.2810533179942314,True
1123,"Salzard, François",France,19,19,41,1983,2024,-3.4986106181167376,True
507,"Pacherele, Pierre",France,19,14,39,1987,2026,-3.8589917876996505,True
409,"Magniere, Gabriel",France,19,50,30,1984,2014,-3.88353075507345,True
186,"Gaggini, Pierre",France,20,28,43,1982,2025,4.044067739027368,True
181,"Français, Emile Marcel",France,20,10,30,1994,2024,3.9182389971367693,True
103,"Capicchioni, Marino",France,20,57,46,1980,2026,3.6852447938741317,True
890,"Acoulon, Alexandre Alfred",France,20,12,37,1982,2019,3.2894020547288516,True
1008,"Drouin, Charles",France,20,17,43,1981,2024,3.1190123315656626,True
780,"Vautrin, Joseph",France,20,29,38,1985,2023,2.4740172163880247,True
1532,"Lorange, Paul II",France,20,23,41,1982,2023,1.7202654807401352,True
1003,Chardon & Fils. Firm,France,20,11,39,1986,2025,1.6895146124342508,True
49,"Becker, Carl Sr.",France,20,40,41,1984,2025,1.544915814654968,True
569,"Pouzol, Émile",France,20,10,27,1994,2021,1.304086022421691,True
797,"Villaume, Gustave",France,20,66,45,1981,2026,1.2710000168659752,True
418,"Mangenot, Amati",France,20,23,40,1984,2024,1.200087699556418,True
1535,"Merling, Pauli",France,20,16,43,1983,2026,0.8439221305168276,True
135,"Cone, Georges",France,20,15,30,1994,2024,0.5876704338974692,True
372,"Le Lyonnais, Charles",France,20,14,37,1984,2021,0.5801208657800538,True
449,"Millant, Roger & Max Firm",France,20,34,42,1983,2025,0.5418988665244484,True
1260,"Didelot, J.",France,20,13,29,1984,2013,0.4598728364493043,True
3763,"Barzoni, François",France,20,112,31,1984,2015,0.3926506760532966,True
1534,"Chipot, Paul Jean Baptiste",France,20,20,41,1984,2025,0.3168748613058492,True
903,"Dieudonné, Amédée",France,20,295,41,1984,2025,0.21009136113248061,True
1599,Silvestre & Maucotel,France,20,25,45,1978,2023,-0.1344659124332903,True
1812,"Résuche, Charles",France,20,10,41,1984,2025,-0.16333907411089088,True
281,"Hilaire, Paul",France,20,10,33,1991,2024,-0.1648526195405009,True
1299,"Bauer, Jean",France,20,19,30,1996,2026,-0.2163148300587503,True
1492,Moinel & Cherpitel Firm,France,20,15,36,1987,2023,-0.26032801702173813,True
19,"Apparut, Georges",France,20,131,42,1983,2025,-0.323207544543358,True
168,"Enel, Charles",France,20,20,40,1985,2025,-0.34523939477734134,True
1214,"Bazin, Gustave",France,20,29,41,1983,2024,-0.39935559485065886,True
1568,"Morizot, René",France,20,26,40,1984,2024,-0.604724672509116,True
1769,"Delprato, François Joseph",France,20,10,40,1983,2023,-0.6109151039266236,True
5092,"Colin, Jean Baptiste",France,20,170,42,1983,2025,-0.7031256365211402,True
355,"Laberte, Marc André Joseph",France,20,225,46,1980,2026,-0.7663866950438192,True
1152,"Cerpi, G.",France,20,11,17,1984,2001,-0.7740100888573909,True
83,"Boulangeot, Emile",France,20,37,38,1985,2023,-0.9461309708463039,True
322,"Kaul, Paul",France,20,63,40,1985,2025,-0.9719393734611947,True
660,"Schmitt, Lucien",France,20,26,37,1988,2025,-1.0472666960899546,True
852,Laberte-Humbert Frères Firm,France,20,118,39,1986,2025,-1.1321246125835294,True
369,"Lavest, Jules",France,20,54,36,1989,2025,-1.1582581894673316,True
29,"Bailly, Charles",France,20,67,41,1984,2025,-1.2070983588378548,True
271,"Hel, Pierre Jean Henri",France,20,32,36,1988,2024,-1.2529946662268587,True
2827,"Collin-Mézin, Charles Jean-Baptiste III",France,20,518,42,1983,2025,-1.2614010467023373,True
985,Caressa & Français Firm,France,20,57,40,1985,2025,-1.3135027590638781,True
2799,"Billottet, Louis Fernand",France,20,10,38,1985,2023,-1.3387949288530598,True
310,"Jacquemin, Rene",France,20,12,40,1984,2024,-1.7499007090989949,True
1432,"Courtier, Louis Charles",France,20,23,39,1985,2024,-2.0491489767595183,True
1481,"Millant, Max",France,20,10,24,1999,2023,-2.115355529102636,True
79,"Blondelet, Hugues Emile",France,20,162,41,1984,2025,-2.4736752256871997,True
727,"Striebig, Jean",France,20,34,33,1991,2024,-2.9270400565014953,True
1529,"Bisch, Paul",France,20,24,26,1985,2011,-5.06623123651273,True
1566,"Bailly, René",France,20,14,34,1990,2024,-5.2573461620651685,True
309,"Jacobs, Hendrik",Italy,17,24,44,1968,2012,5.326698030562138,True
1475,"Albani, Matthias II",Italy,17,34,69,1955,2024,4.177950685485166,True
1674,"Rugeri, Vincenzo",Italy,17,15,54,1969,2023,3.7245054090052188,True
1276,"Stainer, Jacob",Italy,17,45,147,1877,2024,3.174220958696883,True
11,"Amati, Girolamo II",Italy,17,12,130,1893,2023,3.058235272804999,True
